val_acc,test_acc,lr,hidden_layer,dropout,weight_decay,GNN
0.804,0.817,0.0052662422167970265,394,0.6,0.003854431189933464,GAT
0.822,0.836,0.002759893813479168,331,0.6,0.00023136057150549167,GAT
0.8,0.821,0.0008387801651733769,346,0.1,0.0012731734117917481,GAT
0.806,0.815,0.00015123779530654748,139,0.7,0.000763260988398904,GAT
0.706,0.705,0.000224580170535081,449,0.3,0.009096657725764604,GAT
0.664,0.659,0.009933082986360045,484,0.3,0.006817090153135566,GAT
0.796,0.802,0.00022329973327419827,393,0.8,0.007823030670267824,GAT
0.818,0.827,0.00031362311794549497,444,0.9,0.0006379872763210014,GAT
0.806,0.811,0.0005381967198206533,435,0.3,0.0035721650726180942,GAT
0.814,0.828,0.003338764120250826,46,0.3,0.0007415713210035768,GAT
0.822,0.837,0.0054618919082275,451,0.6,0.0028479814813600567,GAT
0.816,0.824,0.0007476236672336392,177,0.2,0.0010310551817856216,GAT
0.816,0.811,0.0047767453799907,190,0.1,0.00020066053757770842,GAT
0.806,0.815,0.0009352754354893632,12,0.4,0.0017269951906995862,GAT
0.792,0.819,0.0002679578927805262,63,0.9,0.00015406624247191528,GAT
0.784,0.795,0.00012072230171804351,442,0.6,0.005002171359254865,GAT
0.816,0.839,0.0007871388739312542,454,0.8,0.00011610253565412515,GAT
0.722,0.728,0.00046778195331675953,267,0.5,0.005024316732178622,GAT
0.822,0.837,0.0014816574695001238,254,0.8,0.0004806882742419006,GAT
0.81,0.818,0.001752689330090153,169,0.3,0.0009103725424266839,GAT
0.816,0.833,0.004897091761438079,377,0.6,0.00033530731648787526,GAT
0.804,0.815,0.000291256065555208,23,0.8,0.0034990106875728956,GAT
0.818,0.843,0.000396325822542215,64,0.9,0.0001694009633868225,GAT
0.826,0.838,0.0012328203896134727,245,0.7,0.0015346429817055338,GAT
0.812,0.811,0.0006162250097253104,23,0.2,0.000586146009610446,GAT
0.828,0.843,0.0070037427305618735,255,0.8,0.00027731797346782346,GAT
0.818,0.821,0.001200815636733205,392,0.4,0.0015865706921854988,GAT
0.814,0.825,0.0001801317185366833,348,0.7,0.0007976724621788317,GAT
0.774,0.791,0.0008586373382969361,105,0.8,0.0049005562937390855,GAT
0.782,0.794,0.00022693145031633664,489,0.4,0.00564317508259391,GAT
0.824,0.837,0.009461774301610791,170,0.6,0.0023974643175020036,GAT
0.824,0.828,0.001105841884523732,195,0.4,0.0012513438126705563,GAT
0.824,0.841,0.0013638974150118044,77,0.8,0.0001751380043269159,GAT
0.804,0.809,0.0002028073808287188,241,0.2,0.0023960502669132925,GAT
0.802,0.827,0.004174312006520247,183,0.9,0.0014322442267087293,GAT
0.812,0.824,0.00333969655400443,297,0.1,0.00021886811652732053,GAT
0.802,0.813,0.0001547273696864157,265,0.3,0.000650351052532837,GAT
0.816,0.833,0.00022191851154515344,120,0.8,0.00017224647433152125,GAT
0.81,0.816,0.0018923580977504336,454,0.1,0.0010667862318672384,GAT
0.818,0.839,0.00022791419298548427,94,0.8,0.0008909128224730765,GAT
0.734,0.737,0.004962107829742329,476,0.3,0.005851407453858708,GAT
0.81,0.815,0.0037535440135709895,437,0.2,0.00010635523447288355,GAT
0.808,0.815,0.00013270455371664402,366,0.7,0.00017434736522594068,GAT
0.812,0.834,0.001488084044696083,56,0.5,0.0006217080219694807,GAT
0.818,0.83,0.007659402600641562,438,0.6,0.002765849663023898,GAT
0.83,0.819,0.0004481320376895778,75,0.6,0.00010051215044729666,GAT
0.814,0.819,0.0003737519636700679,412,0.9,0.0016820094384285091,GAT
0.82,0.83,0.0014769413085204124,399,0.4,0.0008841098683186651,GAT
0.712,0.708,0.00058455520828283,364,0.4,0.005266779439602436,GAT
0.81,0.819,0.0007217531956754511,283,0.5,0.00016971421929675663,GAT
0.828,0.846,0.0010667119105216025,454,0.9,0.00035587754144356923,GAT
0.814,0.829,0.0002350120888282974,407,0.2,0.00016848441270398776,GAT
0.788,0.792,0.005867293933730921,155,0.1,0.004352393336929967,GAT
0.8,0.808,0.0002569207636719492,294,0.2,0.0013732566132218314,GAT
0.814,0.808,0.00023493769957258904,146,0.8,0.00630347919219029,GAT
0.826,0.834,0.007136027125578546,91,0.6,0.0014100970028251957,GAT
0.814,0.812,0.0029986631522658917,184,0.2,0.0001603619691085727,GAT
0.808,0.809,0.00011313084213085612,433,0.5,0.001478017073934397,GAT
0.798,0.799,0.00012797359770485705,126,0.2,0.002152614619052537,GAT
0.814,0.82,0.00257442380175457,318,0.6,0.003527911538211545,GAT
0.808,0.832,0.0019965682688078946,32,0.3,0.0015272219183347458,GAT
0.802,0.803,0.00011925015904494456,478,0.7,0.003942322411766145,GAT
0.718,0.719,0.0074704186852481615,174,0.4,0.006048149611966623,GAT
0.804,0.819,0.0026862174113634375,56,0.2,0.00011245216380699554,GAT
0.83,0.836,0.0029652734413851186,178,0.5,0.0024909945496552365,GAT
0.712,0.756,0.00010013522649907473,19,0.9,0.00012454725333355747,GAT
0.82,0.832,0.001518315801176695,331,0.4,0.00011876344303270479,GAT
0.81,0.818,0.0005112615137806921,58,0.8,0.00014085041834930047,GAT
0.816,0.821,0.005395958230373552,75,0.2,0.0001219126500006451,GAT
0.822,0.824,0.0033130361046746085,467,0.4,0.00022993219836519528,GAT
0.53,0.499,0.004028883576934666,165,0.2,0.009143414467199745,GAT
0.818,0.834,0.006788192426347721,304,0.6,0.0014650199867456846,GAT
0.776,0.82,0.00014175296304238714,49,0.9,0.0003380802061871564,GAT
0.808,0.821,0.0003519300673957798,272,0.2,0.00010753313139538425,GAT
0.814,0.838,0.001029600944777199,420,0.9,0.00021977917880903553,GAT
0.814,0.82,0.009200080894932256,41,0.3,0.001212958028177397,GAT
0.834,0.838,0.0022456927302949292,75,0.9,0.00010723300624358967,GAT
0.818,0.833,0.0030392938224730265,22,0.9,0.0002395761545153185,GAT
0.78,0.793,0.00017434577661113373,212,0.3,0.003512219326849465,GAT
0.8,0.824,0.006178726592462436,127,0.1,0.0009020617598441943,GAT
0.82,0.829,0.0008073389288728224,485,0.8,0.00028421339057564833,GAT
0.812,0.817,0.0006451759966323259,148,0.1,0.0017967852284628254,GAT
0.818,0.83,0.0009060994462049246,157,0.6,0.0010476827832467156,GAT
0.804,0.819,0.0002766658485598474,333,0.1,0.00020028617777094669,GAT
0.804,0.833,0.000836951174450657,173,0.3,0.0002579367422304299,GAT
0.822,0.826,0.0038277204987164546,238,0.2,0.000436599890014852,GAT
0.646,0.642,0.0001061910921149818,118,0.9,0.005101456091629454,GAT
0.8,0.809,0.006357157909050676,207,0.9,0.0014810949014176793,GAT
0.826,0.845,0.0006949971249975406,499,0.8,0.0008141262714096093,GAT
0.808,0.825,0.006996812169279829,148,0.2,0.002048526838281018,GAT
0.814,0.841,0.0009532025161892078,216,0.8,0.0010867680896892318,GAT
0.816,0.828,0.0072645946538055645,75,0.4,0.002524040249669085,GAT
0.754,0.756,0.00020887753762698462,325,0.4,0.004774093004567879,GAT
0.81,0.815,0.0013906843017712342,29,0.4,0.00013952295638664698,GAT
0.776,0.784,0.0007969838677488991,71,0.6,0.007135779227539282,GAT
0.828,0.844,0.0037464484162981846,152,0.9,0.00037396232945408346,GAT
0.804,0.823,0.00199757360703149,92,0.9,0.0031928521157702458,GAT
0.82,0.842,0.00780172159944468,73,0.7,0.00021611831909264283,GAT
0.816,0.833,0.0005613464003897742,261,0.4,0.00018678355059150226,GAT
0.8,0.803,0.0002073670706647591,26,0.4,0.00015786285879192957,GAT
0.814,0.825,0.0032560048346510846,78,0.2,0.0013422407476278598,GAT
0.75,0.764,0.00023542067067128822,331,0.7,0.009912903751897921,GAT
0.806,0.816,0.002776643465040437,201,0.1,0.00016737417549922664,GAT
0.808,0.818,0.003946116761099551,33,0.3,0.00010743372607741747,GAT
0.802,0.827,0.002891198965502922,272,0.1,0.0008726937991446837,GAT
0.814,0.83,0.000734107535408456,133,0.4,0.0005602687631106528,GAT
0.822,0.832,0.0047684447048940174,176,0.4,0.0008460901703671262,GAT
