val_acc,test_acc,lr,hidden_layer,dropout,weight_decay,GNN
0.804,0.827,0.000628412,234,0.8,0.00082931,GCN
0.81,0.813,0.002073676,435,0.3,0.003623714,GCN
0.786,0.799,0.0004967110219021255,154,0.6,0.0032337688553583,GCN
0.806,0.828,0.006718,47,0.8,0.000936,GCN
0.8,0.826,0.006718,47,0.8,0.000936,GCN
0.808,0.823,0.006718,47,0.8,0.000936,GCN
0.804,0.817,0.0009855071398275897,152,0.1,0.0017816514383112811,GCN
0.81,0.824,0.005271328951793427,26,0.5,0.00010226629326867655,GCN
0.794,0.803,0.00010815075725884875,401,0.1,0.0032609275204412065,GCN
0.804,0.829,0.0006783630839685573,64,0.2,0.0001735642368859252,GCN
0.808,0.83,0.0025152904014167435,104,0.9,0.00040694431395575583,GCN
0.786,0.804,0.0005039132292184649,109,0.2,0.0052732777571794145,GCN
0.806,0.824,0.0038784514806978693,91,0.3,0.0009269227950084646,GCN
0.786,0.798,0.00030935112496459014,217,0.9,0.0025603247445384345,GCN
0.812,0.817,0.006169673798322802,96,0.1,0.002384450900551248,GCN
0.806,0.826,0.0014766359380810757,60,0.7,0.0012900873457918675,GCN
0.798,0.814,0.007419587282048829,23,0.2,0.0016001319952203697,GCN
0.808,0.822,0.001409637269138117,106,0.2,0.0003820897275745743,GCN
0.81,0.813,0.002920810448401155,342,0.3,0.002532208465350103,GCN
0.808,0.825,0.007632551025830591,146,0.3,0.0006741981034887741,GCN
0.812,0.823,0.006001245923776432,30,0.2,0.0024126895186754676,GCN
0.79,0.808,0.00032487863141059765,32,0.1,0.00039819918984318887,GCN
0.756,0.777,0.0004832631626575628,33,0.8,0.004297198911702334,GCN
0.776,0.785,0.00038136029772829153,184,0.5,0.008774747287440522,GCN
0.814,0.827,0.008737090719860315,68,0.2,0.006159571268249978,GCN
0.794,0.805,0.0005227079629687825,462,0.7,0.009369868416236583,GCN
0.816,0.824,0.008226308071142328,304,0.4,0.005663341878674778,GCN
0.792,0.809,0.0001301353471164485,295,0.4,0.0006395930347849629,GCN
0.802,0.831,0.0008823115291797974,87,0.8,0.00023417506990044173,GCN
0.81,0.828,0.00750515717637889,474,0.9,0.0005320126581328311,GCN
0.744,0.762,0.00014923848214421604,350,0.9,0.002874180705207982,GCN
0.808,0.82,0.007132969787504119,351,0.4,0.0009687183245607246,GCN
0.798,0.817,0.00016742169372985387,240,0.3,0.00011388745242980029,GCN
0.81,0.814,0.00446262706420266,111,0.8,0.0064108077823649854,GCN
0.802,0.826,0.0019060492811435327,163,0.2,0.000729298555973945,GCN
0.802,0.822,0.0018050316632154135,86,0.2,0.0009028181110373002,GCN
0.802,0.824,0.0011414228319695451,73,0.6,0.0004079247859607,GCN
0.8,0.823,0.00020874018625640086,490,0.9,0.0002658286941797598,GCN
0.814,0.821,0.0056261211670699356,301,0.7,0.002913649235447767,GCN
0.808,0.823,0.0002645689066173109,434,0.4,0.00020270685584638877,GCN
0.808,0.815,0.0039434791993961625,105,0.1,0.0027900669686777963,GCN
0.802,0.816,0.0006771898699629172,202,0.1,0.00011477834279137527,GCN
0.786,0.806,0.0006009283247746527,191,0.3,0.003602207160622056,GCN
0.808,0.821,0.0034040836138827394,313,0.7,0.0008178120283806189,GCN
0.804,0.81,0.001357418791196661,249,0.2,0.007874663722351533,GCN
0.76,0.793,0.0006132143215040105,185,0.9,0.005594063647789654,GCN
0.816,0.823,0.001969908157216906,118,0.3,0.0002492880850284476,GCN
0.806,0.827,0.0038086411796433863,203,0.6,0.00012942505240122893,GCN
0.814,0.818,0.004969963226586594,319,0.3,0.00942074051141289,GCN
0.802,0.824,0.00038440827555479164,352,0.4,0.00043048421737412913,GCN
0.772,0.801,0.00028833202223166435,169,0.6,0.003802520368881809,GCN
0.796,0.822,0.007159663127973047,448,0.3,0.00023144157230120505,GCN
0.798,0.812,0.0007893865211654709,108,0.1,0.0033989130872713207,GCN
0.794,0.816,0.0002117982461034963,361,0.6,0.0011121428657370305,GCN
0.796,0.817,0.0011059562384895902,24,0.6,0.0010520158115922597,GCN
0.8,0.821,0.001837913129138704,407,0.8,0.0009068954527685784,GCN
0.792,0.815,0.0007600699793118984,98,0.7,0.0022337728435005175,GCN
0.766,0.784,0.0001222997877886218,32,0.7,0.001293756129139256,GCN
0.806,0.812,0.002675056872936728,215,0.5,0.009429614883929563,GCN
0.814,0.833,0.009631384756030368,380,0.9,0.0002895226133149086,GCN
0.402,0.411,0.00014072234465840357,234,0.2,0.008712454578462703,GCN
0.812,0.826,0.009193577634819945,198,0.2,0.0005085673707752271,GCN
0.808,0.816,0.006603943250818344,150,0.1,0.006629700626546971,GCN
0.814,0.818,0.0030229666756239133,423,0.6,0.003866516540102762,GCN
0.518,0.517,0.00016435172308946358,206,0.3,0.005671358536591831,GCN
0.804,0.821,0.00648101294615189,125,0.3,0.0004303108846204391,GCN
0.808,0.827,0.0009639861998930333,32,0.5,0.0003886537662070852,GCN
0.802,0.816,0.0008782211679678045,497,0.2,0.0015529721842980344,GCN
0.808,0.825,0.0005044392835589964,174,0.9,0.0003506706064411587,GCN
0.798,0.822,0.0008558174076038957,175,0.1,0.00046824654315266923,GCN
0.806,0.826,0.00026090577725623016,369,0.7,0.0005751718771537436,GCN
0.806,0.825,0.0009249506356724732,285,0.3,0.0001765244135399187,GCN
0.792,0.807,0.00041498045692966827,493,0.8,0.005506555181430973,GCN
0.81,0.827,0.0011450752349164608,471,0.9,0.0002844100148528577,GCN
0.806,0.824,0.0050764060411409295,147,0.3,0.0006777372599589848,GCN
0.814,0.829,0.002291135946685386,99,0.6,0.0003398395780585208,GCN
0.808,0.814,0.0023015030554810606,118,0.1,0.003465090172681243,GCN
0.808,0.83,0.00046891886522411065,249,0.8,0.0004563564996085332,GCN
0.758,0.772,0.0002108535586111363,214,0.8,0.005688677090047627,GCN
0.786,0.801,0.00014993910264047555,236,0.3,0.0004155756804605887,GCN
0.808,0.829,0.0075710063428519265,38,0.5,0.0003984304132998917,GCN
0.77,0.794,0.00014091277275497512,30,0.7,0.0003024267958945225,GCN
0.79,0.813,0.0001346819922657503,403,0.6,0.0015165835259813134,GCN
0.804,0.816,0.005913620176342111,185,0.7,0.002379194619835972,GCN
0.8,0.813,0.0017121844686168633,186,0.7,0.0018550460766923954,GCN
0.802,0.821,0.00040696109617504835,104,0.8,0.00035500041611738096,GCN
0.794,0.809,0.0007015650423161682,293,0.3,0.0029304845507925528,GCN
0.806,0.812,0.002643617239172066,229,0.9,0.004192060680812034,GCN
0.804,0.821,0.005693485998199371,306,0.3,0.0005708058532021132,GCN
0.806,0.822,0.0006458558425783146,122,0.1,0.00019024318623326288,GCN
0.798,0.822,0.001302294461724555,157,0.2,0.0009278017514617285,GCN
0.792,0.81,0.00014257059740601014,310,0.1,0.0006778647884140467,GCN
0.808,0.816,0.003960329803006346,220,0.7,0.005039078325747193,GCN
0.802,0.827,0.0037469085986746717,155,0.1,0.00030875545811096737,GCN
0.814,0.821,0.008122270961761767,64,0.5,0.00308340755489041,GCN
0.812,0.818,0.004219875450445746,166,0.6,0.002211507179406543,GCN
0.802,0.821,0.004320076619317102,398,0.6,0.0004155027302134265,GCN
0.82,0.82,0.008421918192375989,442,0.6,0.003275511329191231,GCN
0.808,0.829,0.005395403351830569,357,0.9,0.00010269354244006303,GCN
0.794,0.814,0.00011787878187246319,303,0.3,0.00021212226353317464,GCN
0.804,0.817,0.0005081229025330954,106,0.5,0.0014943705425591546,GCN
0.814,0.816,0.005355045062556561,369,0.2,0.007022633835279439,GCN
0.812,0.827,0.0012482088561626694,296,0.6,0.00019727032389630736,GCN
0.8,0.825,0.0008269758070156208,230,0.1,0.0006634140012247,GCN
0.796,0.803,0.00010074673410142147,175,0.5,0.0005146595870525881,GCN
0.806,0.826,0.0011535969388204183,314,0.7,0.000396925589234096,GCN
0.814,0.824,0.00047837038187489584,359,0.5,0.000297997117806761,GCN
0.808,0.823,0.007116265836028004,64,0.8,0.0044950975132963655,GCN
0.728,0.72,0.00015038686163852498,489,0.8,0.0072636386975517405,GCN
0.81,0.834,0.0012102213564328204,291,0.9,0.00015351237405836956,GCN
0.806,0.827,0.006000793397145811,285,0.8,0.0004266285578108542,GCN
0.79,0.812,0.00011920765812209462,303,0.3,0.00018564655390161214,GCN
0.798,0.815,0.00032658571464307384,91,0.3,0.0001864897026749962,GCN
0.802,0.808,0.000803545569853399,265,0.7,0.004261215455749203,GCN
0.796,0.802,0.0013271654219811299,108,0.8,0.008402356910645704,GCN
0.804,0.819,0.0011130331786606896,173,0.6,0.001180220619837608,GCN
0.802,0.823,0.00022404574588823648,400,0.8,0.0005545521052445187,GCN
0.804,0.821,0.006580393959506934,497,0.4,0.0006233306361880227,GCN
0.73,0.752,0.00013729372509372167,356,0.9,0.006824386292842342,GCN
0.806,0.822,0.006686714349910825,24,0.9,0.0027116762950933878,GCN
0.802,0.823,0.004246703686097518,241,0.7,0.0009816286690714532,GCN
0.804,0.826,0.008330395863845739,472,0.2,0.0006235374670802317,GCN
0.808,0.823,0.0009093724433062677,173,0.3,0.0002372907698336862,GCN
0.806,0.821,0.0009947142486261898,227,0.3,0.0011821371785754303,GCN
0.798,0.827,0.0022312608761207923,52,0.3,0.0008498962710136139,GCN
0.806,0.827,0.001289158518844633,367,0.7,0.0002624117865717575,GCN
0.814,0.819,0.005670682825022286,265,0.5,0.006678680034091853,GCN
0.81,0.827,0.0007264931890046384,47,0.2,0.0003391644441256114,GCN
0.804,0.827,0.0006109586175513316,434,0.8,0.00011353725863093426,GCN
0.808,0.828,0.007116832677060592,110,0.9,0.0010031727292083843,GCN
0.802,0.816,0.002801885094770418,185,0.9,0.001628655599061957,GCN
0.756,0.763,0.0001542730030843314,143,0.2,0.0018634194657973593,GCN
0.806,0.823,0.0003453832682090064,145,0.5,0.00048796357486535964,GCN
